#,@type,title,description,identifier,theme,keyword,issued,modified,accrualPeriodicity,temporal,spatial,describedBy,references,license,publisher,contactPoint,@type-resource,identifier-resource,title-resource,description-resource,mediaType-resource,byteSize-resource,describedBy-resource,accessURL-resource,downloadURL-resource
1,"@type: ""dcat:Dataset""",Límites de las áreas protegidas de Honduras,"Contiene los límites de las diferentes áreas protegidas con Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un decreto legislativo de aprobación; otras en cambio aún se encuentran a nivel de propuesta pero de igual forma representan áreas con claros intereses de conservación.",areas-protegidas,Medio Ambiente,"Conservacion, Proteccion",13/06/2015,13/07/2017,R/P1Y,,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para el manejo de las areas protegidas, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,Departamento de Areas Protegidas - ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",areas_protegidas_hn,Servicio Web (WMS) de áreas protegidas,"Contiene los límites de las diferentes áreas protegidas con Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un decreto legislativo de aprobación en formato WMS",WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",areas_protegidas_hn,Servicio Web (WFS) de áreas protegidas,"Contiene los límites de las diferentes áreas protegidas con Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un decreto legislativo de aprobación en formato WFS",WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",areas_protegidas_hn,Servicio Web (WCS) de áreas protegidas,"Contiene los límites de las diferentes áreas protegidas con Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un decreto legislativo de aprobación en formato WCS",WCS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wcs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",areas_protegidas_hn,Shapefile de las areas protegidas de Honduras en formato ZIP,"Contiene los límites de las diferentes áreas protegidas con Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un decreto legislativo de aprobación en formato SHP","ZIP (SHP, SHX, DBF)",3059,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",areas_protegidas_hn,Archivo CSV de la metadata del archivo shapefile correspondiente a las area protegidas del pais.,"Contiene las coordenadas UTM Zona 16 N correspondiente a los limites geograficos de las areas protegidas que ya han sido declaradas legalmente mediante decreto legislativo o que aun se encuentran en proceso de declaratoria. Ademas, contiene informancion de la metadata del archivo shape de la areas protegidas.",CSV,8880,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
2,"@type: ""dcat:Dataset""",Límites de las microcuencas declaradas,"Contiene los límites de las diferentes microcuencas, algunas de las cuales ya cuentan con un Acuerdo o resolución ejecutiva de aprobación y con Plan de Manejo en ejecución.",microcuencas-declaradas,Medio Ambiente,"Conservacion, Proteccion, Hidrologia",13/06/2015,28/06/2018,R/P1Y,,http://www.geonames.org/3608932,,La ley forestal presenta los lineamientos para la declaratoria de microcuencas en el pais: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf,https://creativecommons.org/licenses/by/4.0/deed.es,Departamento de Cuencas Hidrograficas - ICF,info@icf.gob.hn,"@type: ""dcat:Distribution""",microcuencas_delaradas_hn,Servicio Web (WMS) de microcuencas declaradas,"Contiene los límites de las diferentes microcuencas on Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un Acuerdo o resolución ejecutiva de aprobación y con plan de manejo en ejecución en formato WMS",WMS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wms,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",microcuencas_delaradas_hn,Servicio Web (WFS) de microcuencas declaradas,"Contiene los límites de las diferentes microcuencas on Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un Acuerdo o resolución ejecutiva de aprobación y con plan de manejo en ejecución en formato WFS",WFS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wfs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",microcuencas_delaradas_hn,Servicio Web (WCS) de microcuencas declaradas,"Contiene los límites de las diferentes microcuencas on Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un Acuerdo o resolución ejecutiva de aprobación y con plan de manejo en ejecución en formato WCS",WCS,,,http://geoportal.icf.gob.hn.8081/geoserver/icf/wcs,
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",microcuencas_declaradas_hn,Shapefile de las microcuencas declaradas de Honduras en formato ZIP,"Contiene los límites de las diferentes microcuencas on Datum WGS 84, Proyeccion UTM Zona 16 N, algunas de las cuales ya cuentan con un Acuerdo o resolución ejecutiva de aprobación y con plan de manejo en ejecución en formato SHP","ZIP (SHP, SHX, DBF)",847,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",microcuencas_declaradas_hn,Archivo CSV de la metadata del archivo shapefile correspondiente a las microcuencas declaradas del pais.,"Contiene las coordenadas UTM Zona 16 N correspondiente a los limites geograficos de las Microcuencas que ya han sido declaradas legalmente mediante Acuerdo Ejecutivo o que aun se encuentran en proceso de declaratoria. Ademas, contiene informancion de la metadata del archivo shape de la areas protegidas.",CSV,4835,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
